generation	best_fitness
0	2.8845825979573664e-06
1	6.193203210412796e-06
2	8.839399448810505e-06
3	1.7012164533486406e-05
4	2.5555139694826143e-05
5	3.961727614085016e-05
6	4.993133324981192e-05
7	6.0001239812373054e-05
8	8.448641924781191e-05
9	0.00011035548281164931
10	0.0001395576068495783
11	0.00019619295681784775
12	0.00026343780536940527
13	0.0003055723601702258
14	0.00038023858089000756
15	0.000482777088249637
16	0.0005633612656056843
17	0.0007228023195853397
18	0.000852522740294902
19	0.000984619866378592
20	0.000984619866378592
21	0.0010966536112467543
22	0.0015211490497080292
23	0.0017054373734430824
24	0.0017763538028133631
25	0.0017874974908764713
26	0.002027806552985282
27	0.002391445558775284
28	0.002410574588321687
29	0.002862951771767256
30	0.002862951771767256
31	0.003321361911950312
32	0.0036583655507802094
33	0.0036583655507802094
34	0.004230298122035924
35	0.004544627406039212
36	0.0049053081961151134
37	0.005107901311028122
38	0.006044761613702367
39	0.006044761613702367
40	0.006044761613702367
41	0.006044761613702367
42	0.006248312934980476
43	0.006248312934980476
44	0.006410607691200841
45	0.006941950203996866
46	0.007490090087381305
47	0.011162332256523702
48	0.011162332256523702
49	0.0124044919829863
50	0.0124044919829863
51	0.0124044919829863
52	0.0124044919829863
53	0.0124044919829863
54	0.01310636050276478
55	0.01310636050276478
56	0.01310636050276478
57	0.01310636050276478
58	0.01310636050276478
59	0.01310636050276478
60	0.013552465724156854
61	0.013568976054772582
62	0.013568976054772582
63	0.014515899530039235
64	0.016090859058751884
65	0.016090859058751884
66	0.016090859058751884
67	0.016090859058751884
68	0.017401694412404217
69	0.017401694412404217
70	0.017401694412404217
71	0.017401694412404217
72	0.0180060405897888
73	0.0180060405897888
74	0.0180060405897888
75	0.0180060405897888
76	0.018113933372737576
77	0.0182018043480649
78	0.019072719111036633
79	0.019072719111036633
80	0.01919887107762522
81	0.01919887107762522
82	0.01919887107762522
83	0.01919887107762522
84	0.01919887107762522
85	0.01919887107762522
86	0.01919887107762522
87	0.01919887107762522
88	0.01919887107762522
89	0.019234042647479584
90	0.019234042647479584
91	0.019235351967241132
92	0.019235351967241132
93	0.019235351967241132
94	0.019235351967241132
95	0.01942989531737388
96	0.01942989531737388
97	0.01942989531737388
98	0.01942989531737388
99	0.01942989531737388
100	0.01942989531737388
101	0.019578430706454448
102	0.019578430706454448
103	0.019578430706454448
104	0.02144066137056939
105	0.021587540326243514
106	0.021587540326243514
107	0.021587540326243514
108	0.021587540326243514
109	0.021587540326243514
110	0.021587540326243514
111	0.021587540326243514
112	0.021587540326243514
113	0.021587540326243514
114	0.021785946457976144
115	0.021785946457976144
116	0.021785946457976144
117	0.021993160488235998
118	0.021993160488235998
119	0.021993160488235998
120	0.021993160488235998
121	0.021993160488235998
122	0.022133926725804602
123	0.022133926725804602
124	0.022133926725804602
125	0.022133926725804602
126	0.022133926725804602
127	0.022133926725804602
128	0.0222299723436288
129	0.022360062948113144
130	0.022360062948113144
131	0.022360062948113144
132	0.022422975663106692
133	0.02258484555737999
134	0.02258484555737999
135	0.02258484555737999
136	0.02258484555737999
137	0.02258484555737999
138	0.022622146040234627
139	0.022622146040234627
140	0.022622146040234627
141	0.022622146040234627
142	0.022622146040234627
143	0.022622146040234627
144	0.022622146040234627
145	0.022622146040234627
146	0.022622146040234627
147	0.022622146040234627
148	0.022622146040234627
149	0.022622146040234627
150	0.022622146040234627
151	0.022736980362985295
152	0.02284170438529411
153	0.02284170438529411
154	0.02284170438529411
155	0.02284170438529411
156	0.02284170438529411
157	0.02284170438529411
158	0.023081980332903658
159	0.023081980332903658
160	0.023081980332903658
161	0.023081980332903658
162	0.02334025164444391
163	0.02334025164444391
164	0.02334025164444391
165	0.02357412312729815
166	0.02357412312729815
167	0.02357412312729815
168	0.02357412312729815
169	0.02357412312729815
170	0.02357412312729815
171	0.02357412312729815
172	0.023591342060606712
173	0.023845571208084303
174	0.024020650586506574
175	0.024020650586506574
176	0.024020650586506574
177	0.024020650586506574
178	0.024020650586506574
179	0.024020650586506574
180	0.024020650586506574
181	0.024020650586506574
182	0.024020650586506574
183	0.024020650586506574
184	0.024020650586506574
185	0.024213718574773137
186	0.024213718574773137
187	0.024213718574773137
188	0.024213718574773137
189	0.024213718574773137
190	0.024213718574773137
191	0.024213718574773137
192	0.024213718574773137
193	0.024213718574773137
194	0.024213718574773137
195	0.024253236157026924
196	0.024253236157026924
197	0.02446190286334675
198	0.02446190286334675
199	0.02446190286334675
200	0.02446190286334675
201	0.02446190286334675
202	0.02464481576841411
203	0.02464481576841411
204	0.02477045396177234
205	0.02477045396177234
206	0.02477045396177234
207	0.02477045396177234
208	0.02477045396177234
209	0.02477045396177234
210	0.02477045396177234
211	0.024823611781103865
212	0.024823611781103865
213	0.024823611781103865
214	0.024823611781103865
215	0.024823611781103865
216	0.024823611781103865
217	0.024918228632880526
218	0.024918228632880526
219	0.024918228632880526
220	0.02492775911211511
221	0.02492775911211511
222	0.02492775911211511
223	0.02492775911211511
224	0.02492775911211511
225	0.02492775911211511
226	0.02492775911211511
227	0.02492775911211511
228	0.02492775911211511
229	0.024963374409520706
230	0.024963374409520706
231	0.024963374409520706
232	0.024963374409520706
233	0.024963374409520706
234	0.024963374409520706
235	0.024982782920291866
236	0.024982782920291866
237	0.024982782920291866
238	0.024982782920291866
239	0.024982782920291866
240	0.024982782920291866
241	0.024982782920291866
242	0.024982782920291866
243	0.024982782920291866
244	0.024982782920291866
245	0.024982782920291866
246	0.02498944051517093
247	0.02498944051517093
248	0.02498944051517093
249	0.02498944051517093
